word,zero_letters,one_letter
dehumanisation,No,No
featurish,No,No
inheritableness,No,No
governmentally,No,No
chylific,No,No
accomplishers,No,No
banquetings,No,No
cahuy,No,No
polyodontoid,No,No
paronomasiastic,No,No
schizostele,No,No
gallanted,No,No
hutment,No,No
impounds,No,No
hepaticotomy,No,No
postlarval,No,No
metallurgist,No,No
peziza,No,No
lenitives,No,No
oftenest,No,No
dewdamp,No,No
coleopteroid,No,No
uninterrogated,Yes,No
casserole,No,No
wafers,No,No
releve,No,No
epileptic,No,No
unsightable,No,No
decalogue,No,No
electrotropic,No,No
backspread,No,No
autarky,No,No
aleurodes,No,No
regardant,No,No
rhinovirus,No,No
fizzers,No,No
bacillariaceous,No,No
gelled,No,No
chekist,No,No
carpetwork,No,No
preharmony,No,No
bursar,No,No
epistasy,No,No
occurs,No,No
unfree,No,No
distending,No,No
elaterite,No,No
exteriorizing,No,No
triticality,No,No
garse,No,No
olneya,No,No
turkis,No,No
outpress,No,No
frankheartedly,No,No
ultraritualism,No,No
boscage,No,No
craals,No,No
intercepts,No,No
congou,No,No
unsombrely,No,No
sheenier,No,No
developmentally,No,No
perau,No,No
undiagrammatic,No,No
volvas,No,No
octaeteris,No,No
plasmoma,No,No
baskonize,No,No
hyperthyroidize,No,No
nymphalid,No,No
alkynes,No,No
animalier,No,No
beseechingly,No,No
fragging,No,No
waeg,No,No
rationalist,No,No
projectionists,No,No
punkins,No,No
birkenia,No,No
oceanside,No,No
neotenies,No,No
misfeasor,No,No
magdalene,No,No
podolian,No,No
unrubricated,No,No
turbidities,No,No
achernar,No,No
mesomeres,No,No
absentia,No,No
improducible,No,No
sequester,No,No
feudalizing,No,No
denominations,No,No
ferrous,No,No
undergarb,No,No
dollface,No,No
respray,No,No
chamaesiphon,No,No
barramundis,No,No
precaudal,No,No
camelry,No,No
prepunch,No,No
lx,No,No
proliturgist,No,No
bugaboos,No,No
anthem,No,No
wrackful,No,No
gynecocracies,No,No
foreroom,No,No
tarpum,No,No
epistemological,No,Yes
unbet,No,No
russian,No,No
theophysical,No,No
psammous,No,No
negara,No,No
kukoline,No,No
inseparately,No,No
mookhtar,No,No
expostulator,No,No
merlin,No,No
fluorocarbon,No,No
heartburn,No,No
desegregate,No,No
numbedness,No,No
unsufferableness,Yes,No
unenabled,No,No
bardcraft,No,No
aeneus,No,No
foreaccounting,No,No
acne,No,No
herenach,No,No
linkman,No,No
homogeneity,No,No
cicatricial,No,No
sackclothed,No,No
redeterminible,No,No
encoronet,No,No
swinestone,No,No
fleeter,No,No
reportership,No,No
ophiologist,No,No
cypraeidae,No,No
cruciferae,No,No
cicutoxin,No,No
depositor,No,No
hydromorphy,No,No
gunrunning,No,No
myelosyphilosis,No,No
nonhereditary,No,Yes
melanoi,No,No
spanpiece,No,No
sanities,No,No
omasitis,No,No
illuminee,No,No
dagestan,No,No
leiotrichinae,No,No
octect,No,No
staphylotomy,No,No
undwellable,No,No
assoils,No,No
discerpible,No,No
confidingly,No,No
cordillera,No,No
sparsedly,No,No
interungulate,No,No
behalf,No,No
issuing,No,No
calefactories,No,No
runite,No,No
thermospheres,No,No
unlikely,No,No
outmalapropping,No,No
nubbins,No,No
dealership,No,No
blanco,No,No
unexcessively,No,No
kharwar,No,No
forthbringing,No,No
fillies,No,No
efficaciously,No,No
toplessness,No,Yes
feigns,No,No
unconjectural,No,No
insheaths,No,No
alienages,No,No
ammoniuria,No,No
litters,No,No
memberless,No,No
crotchwood,No,No
crewneck,No,No
foreword,No,No
squatarole,No,No
misecclesiastic,No,No
parelectronomy,No,No
outeyed,No,No
eden,No,No
decocting,No,No
abtruse,No,No
brawl,No,No
prostitutes,No,No
airwoman,No,No
ipomoein,No,No
certainest,No,No
fiddledeedee,No,No
periganglionic,No,No
sheel,No,No
pleurostigma,No,No
poudrin,No,No
hearable,No,No
copulatively,No,No
recollecting,No,No
chalybeous,No,No
untantalising,No,No
whooping,No,No
disclassify,No,No
daphne,No,No
iguanodont,No,No
yarmulke,No,No
palaeoclimatology,No,Yes
reacknowledged,No,No
apterygota,No,No
chloroformate,No,No
suffragan,No,No
conversational,No,No
photomicrographer,Yes,No
lunularia,No,No
jem,No,No
nonblasphemies,No,No
blowfishes,No,No
stoond,No,No
dungbird,No,No
unwarrantedly,No,No
midcourse,No,No
diamides,No,No
sapientize,No,No
disporting,No,No
superpiousness,No,No
fluviometer,No,No
canephors,No,No
leguminose,No,No
tricircular,No,No
sammier,No,No
aurited,No,No
rationalistic,No,No
exinanite,No,No
goldylocks,No,No
ectocinereal,No,No
gymnolaema,No,No
semifixed,No,No
overlettered,No,No
defacing,No,No
choose,No,No
ostrogoth,No,No
schick,No,No
squail,No,No
hyalescence,No,No
baculus,No,No
trionychoid,No,No
dissimulated,No,No
castellany,No,No
telesiurgic,No,No
spokesman,No,No
gonid,No,No
portray,No,No
aivr,No,No
censurer,No,No
semisucculent,No,No
hypercorrectness,No,No
pompa,No,No
soppiest,No,No
cauking,No,No
subordinary,No,No
catnip,No,No
reattaching,No,No
haymish,No,No
drain,No,No
protohomo,No,No
cop,No,No
aspirations,No,No
merchandiser,No,No
typhosis,No,No
nain,No,No
brunts,No,No
cantankerousness,Yes,No
berlina,No,No
fanga,No,No
tuckers,No,No
desertless,No,No
loveability,No,No
unpervasiveness,No,No
recontests,No,No
geodete,No,No
nestle,No,No
xenolite,No,No
parchmentlike,No,No
bisalt,No,No
skunkbush,No,No
cadlock,No,No
undisguise,No,No
skullfish,No,No
outboxes,No,No
wulder,No,No
parietales,No,No
bullethead,No,No
ungrudged,No,No
mainpin,No,No
purvey,No,No
scythic,No,No
ordosite,No,No
orobanchaceae,No,No
unbelieving,No,No
recite,No,No
gammaridae,No,No
prologuizer,No,No
unclothedness,No,No
tramming,No,No
circumventer,No,No
pitirri,No,No
decrescendo,No,No
subjectless,No,No
roentgenographically,No,No
nazification,No,No
warwork,No,No
injunctive,No,No
eryhtrism,No,No
sternfully,No,No
destructively,No,No
flowingness,No,No
mallemaroking,No,No
chattery,No,No
pinacolin,No,No
myriophyllous,No,No
cutbacks,No,No
captives,No,No
academize,No,No
lambling,No,No
nonprognosticative,Yes,Yes
timbang,No,No
unacoustical,No,No
stile,No,No
gramaryes,No,No
orphaning,No,No
alkide,No,No
apes,Yes,No
unwontedness,No,No
stary,No,No
pontificalia,No,No
bewailment,No,No
sacramentalis,No,No
unsightliness,Yes,No
preventability,No,No
colegatee,No,No
unbowdlerized,No,No
arteriorrhagia,No,No
nunciative,No,No
saggard,No,No
sleeted,No,No
hens,No,No
muclucs,No,No
staghunter,No,No
alpine,No,No
schoolgirl,No,No
optimisticalness,No,No
unscrutinising,No,No
unamusingly,No,No
socagers,No,No
anatreptic,No,No
surveiling,No,No
postmistresses,No,No
salvador,No,No
frontless,No,No
enwinds,No,No
applanate,No,No
prerefer,No,No
pneuma,No,No
uningeniously,No,No
lutianoid,No,No
oxalamide,No,No
disfigure,No,No
bellbinder,No,No
mima,No,No
electrocontractility,No,No
extraretinal,No,No
chalazogamic,No,No
leslie,No,No
haily,No,No
cytidine,No,No
prefertilization,No,No
lichenise,No,No
finnoc,No,No
vedantist,No,No
subcerebellar,No,No
placit,No,No
goo,Yes,Yes
megatypy,No,No
repunctuate,No,No
macrosymbiont,No,No
pliskie,No,No
moggies,No,No
somedeal,No,No
retrostalsis,No,No
dogfall,No,No
bunching,No,No
pragmatists,No,No
guntub,No,No
emulated,No,No
unsceptically,No,No
unassibilated,No,No
gladship,No,No
unemployability,No,No
collinsite,No,No
coremium,No,No
haycart,No,No
peritomize,No,No
yodled,No,No
pilous,No,No
administrated,No,No
guardianship,No,No
homeogenic,No,No
staphylotome,No,No
pollenivorous,No,No
damn,No,No
